Date,Total Coliform (MPN/100mL)
2020-01-01,119.0266994080867
2020-01-02,117.58826224325968
2020-01-03,118.99232037389527
2020-01-04,120.57583790800669
2020-01-05,116.89503832327325
2020-01-06,116.72941933410948
2020-01-07,120.19129743827988
2020-01-08,118.40379904894755
2020-01-09,115.76696640588479
2020-01-10,117.62899696046459
2020-01-11,115.45602730707739
2020-01-12,115.29146084081984
2020-01-13,116.5480217765674
2020-01-14,112.07987992252819
2020-01-15,112.30016093527838
2020-01-16,114.4702370980131
2020-01-17,113.41527082424656
2020-01-18,115.91689958845191
2020-01-19,113.32122477787068
2020-01-20,112.16297446287166
2020-01-21,117.77067362768457
2020-01-22,114.24114691740759
2020-01-23,114.68265202396934
2020-01-24,111.55461100347132
2020-01-25,113.17351187190638
2020-01-26,114.343992656495
2020-01-27,111.68177221290617
2020-01-28,114.59855003705808
2020-01-29,112.51109447420406
2020-01-30,112.99606536804781
2020-01-31,112.24502320345034
2020-02-01,117.02391772688254
2020-02-02,113.16527145575398
2020-02-03,110.95176587321842
2020-02-04,114.5892537231346
2020-02-05,110.38154356329834
2020-02-06,113.12215164914464
2020-02-07,108.6684396437545
2020-02-08,109.81695962688305
2020-02-09,112.75483634383282
2020-02-10,113.72809274632041
2020-02-11,112.48623801159279
2020-02-12,111.80687479739736
2020-02-13,111.33299314561197
2020-02-14,108.87757550480599
2020-02-15,110.29676959597148
2020-02-16,110.71946766389405
2020-02-17,113.66175387890719
2020-02-18,112.14401488163865
2020-02-19,107.84249840877543
2020-02-20,111.93110475169637
2020-02-21,110.42971339943202
2020-02-22,109.76558277309316
2020-02-23,112.26495967033264
2020-02-24,113.02844102174507
2020-02-25,112.75651393729022
2020-02-26,109.14572869296079
2020-02-27,110.13866802636663
2020-02-28,111.35528755242733
2020-02-29,112.5822767912904
2020-03-01,109.61404009040521
2020-03-02,110.14506624655066
2020-03-03,108.25052008568349
2020-03-04,108.02040858196568
2020-03-05,111.99034615914691
2020-03-06,113.03310222690101
2020-03-07,110.13479779054872
2020-03-08,112.24696028946036
2020-03-09,110.92713513364038
2020-03-10,108.88049497098993
2020-03-11,110.86330971137852
2020-03-12,113.18929723060853
2020-03-13,110.01720728184556
2020-03-14,113.19671881895388
2020-03-15,104.80945668081354
2020-03-16,111.67721599120874
2020-03-17,110.19492252782241
2020-03-18,109.41318814321792
2020-03-19,110.18805874619743
2020-03-20,106.02569558425084
2020-03-21,109.56074882696308
2020-03-22,110.71654012322459
2020-03-23,112.9632879770862
2020-03-24,108.97910535189706
2020-03-25,108.40976306313208
2020-03-26,109.03729595135913
2020-03-27,111.88862516646462
2020-03-28,110.73528012514005
2020-03-29,109.04115464159239
2020-03-30,111.15304044228685
2020-03-31,110.34941693117517
2020-04-01,112.12422527834968
2020-04-02,108.81741039718872
2020-04-03,109.60367115508026
2020-04-04,109.51514447522062
2020-04-05,107.4155707271872
2020-04-06,110.98094271540614
2020-04-07,110.95976227844072
2020-04-08,110.49966175033339
2020-04-09,110.07486185897827
2020-04-10,107.77069793648022
2020-04-11,109.82033706624003
2020-04-12,110.03915413115449
2020-04-13,109.18573258439042
2020-04-14,110.53614869481464
2020-04-15,111.73796358560271
2020-04-16,114.77606310589863
2020-04-17,111.4293421610682
2020-04-18,111.67442568201189
2020-04-19,111.09219111702524
2020-04-20,107.48789402210595
2020-04-21,111.35933266634353
2020-04-22,111.62228950460677
2020-04-23,116.5203001686258
2020-04-24,111.30357180677967
2020-04-25,112.38832915164308
2020-04-26,111.81518587051589
2020-04-27,109.64903304301417
2020-04-28,114.37618906146227
2020-04-29,113.70090755466579
2020-04-30,113.8879156252467
2020-05-01,110.5981670056249
2020-05-02,115.33586774490665
2020-05-03,109.84212764477559
2020-05-04,113.9372738046414
2020-05-05,117.26434502880221
2020-05-06,111.02434407922215
2020-05-07,111.99687686855778
2020-05-08,113.45486654184582
2020-05-09,112.37670250934481
2020-05-10,110.41237752751792
2020-05-11,113.78280294071028
2020-05-12,111.65492508813912
2020-05-13,114.8624161601191
2020-05-14,112.21388466192477
2020-05-15,117.29186607549707
2020-05-16,112.76647585241635
2020-05-17,113.83152383591245
2020-05-18,116.24698271935635
2020-05-19,112.30411529347658
2020-05-20,115.36821043068721
2020-05-21,117.6765300069651
2020-05-22,111.99769512971966
2020-05-23,115.73376500803609
2020-05-24,116.03747217109274
2020-05-25,117.23588981805031
2020-05-26,113.35416255212067
2020-05-27,113.34420688177173
2020-05-28,117.18724906879773
2020-05-29,116.89672391755964
2020-05-30,116.96422447892805
2020-05-31,117.31766742305282
2020-06-01,115.42725393991937
2020-06-02,117.41529514775912
2020-06-03,117.70132061779127
2020-06-04,115.85171558860621
2020-06-05,121.17801607112764
2020-06-06,118.56093818176407
2020-06-07,115.39817787555305
2020-06-08,119.26206221858146
2020-06-09,116.16836956111293
2020-06-10,119.86123776567013
2020-06-11,120.774102951372
2020-06-12,116.98584764216393
2020-06-13,120.72467180949512
2020-06-14,119.79454487939866
2020-06-15,120.78447233261453
2020-06-16,123.1055616972847
2020-06-17,118.99302709576172
2020-06-18,118.14831155505756
2020-06-19,118.0488375791906
2020-06-20,118.36837943006913
2020-06-21,120.01793014273015
2020-06-22,121.02652006586075
2020-06-23,121.06957827089258
2020-06-24,122.34239076609525
2020-06-25,120.88565177113028
2020-06-26,123.93808512878897
