Date,Fecal Coliform (MPN/100mL)
2020-01-01,9051.684186712038
2020-01-02,8717.346933974612
2020-01-03,9093.538598819734
2020-01-04,9514.492747723078
2020-01-05,8619.257819910325
2020-01-06,8602.700846326194
2020-01-07,9492.893588480205
2020-01-08,9070.610323640627
2020-01-09,8435.854324807993
2020-01-10,8925.667709122248
2020-01-11,8406.577422864002
2020-01-12,8389.427158010907
2020-01-13,8727.39085912655
2020-01-14,7634.00391885548
2020-01-15,7712.5407437739295
2020-01-16,8278.337451029018
2020-01-17,8037.677746324329
2020-01-18,8685.964158623774
2020-01-19,8059.7152551307045
2020-01-20,7792.606335886578
2020-01-21,9216.761993444925
2020-01-22,8356.381801594798
2020-01-23,8488.523663803311
2020-01-24,7728.036644483095
2020-01-25,8154.036369833083
2020-01-26,8467.67604256246
2020-01-27,7822.879148063926
2020-01-28,8572.564409209508
2020-01-29,8070.917840444762
2020-01-30,8212.098411866797
2020-01-31,8043.990336676216
2020-02-01,9258.075228040936
2020-02-02,8312.477978154016
2020-02-03,7777.863308635071
2020-02-04,8705.688845944416
2020-02-05,7671.901261338528
2020-02-06,8374.874243415888
2020-02-07,7278.942927211516
2020-02-08,7583.240148018776
2020-02-09,8334.54200514402
2020-02-10,8594.349248630664
2020-02-11,8300.03428551627
2020-02-12,8145.992995023264
2020-02-13,8042.96820588441
2020-02-14,7444.20095337037
2020-02-15,7813.723697078736
2020-02-16,7933.755135101469
2020-02-17,8683.312055756394
2020-02-18,8317.486975034404
2020-02-19,7255.337794268721
2020-02-20,8290.335665988076
2020-02-21,7927.446655818306
2020-02-22,7773.481677217528
2020-02-23,8409.998853685525
2020-02-24,8612.14395892329
2020-02-25,8555.035429463884
2020-02-26,7662.807612329288
2020-02-27,7921.103089881299
2020-02-28,8234.907784663803
2020-02-29,8550.891217265747
2020-03-01,7817.651737686935
2020-03-02,7958.80893165592
2020-03-03,7493.151516366541
2020-03-04,7443.178870972368
2020-03-05,8442.79236263295
2020-03-06,8710.182231261348
2020-03-07,7991.876742580772
2020-03-08,8525.755898313644
2020-03-09,8201.204320878327
2020-03-10,7694.513570717456
2020-03-11,8194.749652790377
2020-03-12,8780.340693000644
2020-03-13,7990.972916451569
2020-03-14,8789.064978639588
2020-03-15,6695.02213685443
2020-03-16,8414.292350433441
2020-03-17,8045.606373253693
2020-03-18,7851.616609182033
2020-03-19,8046.334107580394
2020-03-20,7006.298884044815
2020-03-21,7890.1733163450535
2020-03-22,8178.7877837759825
2020-03-23,8739.697011131075
2020-03-24,7742.429469707612
2020-03-25,7598.428225445251
2020-03-26,7753.202482060552
2020-03-27,8463.483151957085
2020-03-28,8172.15334541191
2020-03-29,7745.187403029127
2020-03-30,8269.284274162692
2020-03-31,8064.064957921928
2020-04-01,8503.016024994835
2020-04-02,7671.125111555667
2020-04-03,7862.068471528695
2020-04-04,7833.882001582414
2020-04-05,7302.502588279086
2020-04-06,8186.930354659988
2020-04-07,8174.292809498039
2020-04-08,8051.500212026077
2020-04-09,7937.110045885283
2020-04-10,7352.458571032897
2020-04-11,7855.840109794396
2020-04-12,7901.101058157418
2020-04-13,7677.890077672556
2020-04-14,8005.229155981662
2020-04-15,8295.011615604633
2020-04-16,9043.462080953022
2020-04-17,8195.30755995637
2020-04-18,8244.707685418018
2020-04-19,8086.885336972673
2020-04-20,7173.158037620883
2020-04-21,8127.979103999589
2020-04-22,8180.298013442985
2020-04-23,9391.002650608165
2020-04-24,8072.648891243631
2020-04-25,8329.297117864393
2020-04-26,8171.105056140017
2020-04-27,7614.299893015557
2020-04-28,8780.465750500733
2020-04-29,8595.670665272612
2020-04-30,8626.101146637586
2020-05-01,7787.0004641240685
2020-05-02,8954.425067771495
2020-05-03,7563.657445639874
2020-05-04,8569.784508604223
2020-05-05,9383.571190623215
2020-05-06,7805.273510383009
2020-05-07,8029.798367974947
2020-05-08,8375.382063710875
2020-05-09,8086.627554699622
2020-05-10,7576.038723431953
2020-05-11,8398.849186512836
2020-05-12,7846.80139469608
2020-05-13,8628.319345202464
2020-05-14,7945.561195922335
2020-05-15,9194.166929054969
2020-05-16,8041.671597540764
2020-05-17,8286.533928729543
2020-05-18,8868.753437146535
2020-05-19,7861.152234417472
2020-05-20,8605.05902344996
2020-05-21,9159.795826981237
2020-05-22,7717.524542603598
2020-05-23,8628.7666583633
2020-05-24,8681.712055383801
2020-05-25,8958.135843338223
2020-05-26,7964.331041948642
2020-05-27,7938.2837042518895
2020-05-28,8875.30737656484
2020-05-29,8778.76779372592
2020-05-30,8771.570302996566
2020-05-31,8835.701205154375
2020-06-01,8338.71797751839
2020-06-02,8811.205623924212
2020-06-03,8858.053803768731
2020-06-04,8370.866133452711
2020-06-05,9677.533960456192
2020-06-06,8998.243694449944
2020-06-07,8182.426738394511
2020-06-08,9123.172304448295
2020-06-09,8324.432455043096
