Date,Fecal Streptococci (MPN/100mL)
2020-01-01,2683.850031052466
2020-01-02,2373.5219158232494
2020-01-03,2388.6170894736633
2020-01-04,2518.1317944108437
2020-01-05,2414.810479888697
2020-01-06,2550.5119891830414
2020-01-07,2409.0684234036194
2020-01-08,2220.959004603999
2020-01-09,2407.596463928955
2020-01-10,2098.4486022005008
2020-01-11,2340.8550757904204
2020-01-12,2304.5000192691255
2020-01-13,2261.5814902172588
2020-01-14,2269.614518304403
2020-01-15,1911.130020915695
2020-01-16,2169.9956262765604
2020-01-17,2290.6156334739935
2020-01-18,2296.391524562548
2020-01-19,2051.3286182604634
2020-01-20,2502.520661450052
2020-01-21,2068.7338348491735
2020-01-22,2428.526416024381
2020-01-23,2312.8186531040114
2020-01-24,2090.9599068261514
2020-01-25,2568.17604456974
2020-01-26,1967.3800075024674
2020-01-27,2383.018803109539
2020-01-28,2392.474163626932
2020-01-29,2051.494550886754
2020-01-30,2457.465703394584
2020-01-31,2122.4125184756667
2020-02-01,2223.7067937492047
2020-02-02,2211.6776630157365
2020-02-03,2126.497638262402
2020-02-04,2309.3698495783674
2020-02-05,2299.8592872724616
2020-02-06,1785.51482830912
2020-02-07,2390.2570431513323
2020-02-08,1791.1681886268607
2020-02-09,2324.56493447306
2020-02-10,2337.8990066819965
2020-02-11,1888.981786417603
2020-02-12,2019.7457105177753
2020-02-13,1875.6190931423405
2020-02-14,2048.746768219295
2020-02-15,2025.216043800897
2020-02-16,2237.9693667445495
2020-02-17,2339.43722054739
2020-02-18,2351.975677283078
2020-02-19,1955.9953306593839
2020-02-20,2022.3024658964337
2020-02-21,1723.306259569042
2020-02-22,1894.797325386016
2020-02-23,2245.050681252037
2020-02-24,2371.4386635473043
2020-02-25,1797.8279105769075
2020-02-26,1922.7153351397242
2020-02-27,2032.573487511668
2020-02-28,2090.6702662449316
2020-02-29,1869.638622867955
2020-03-01,2113.4316371976074
2020-03-02,1931.051340579731
2020-03-03,2020.2690475091213
2020-03-04,2129.897941107092
2020-03-05,2019.5491796801132
2020-03-06,1928.7539303826543
2020-03-07,1992.018940900303
2020-03-08,1994.3221328427487
2020-03-09,1936.1909482008293
2020-03-10,1956.7775114765884
2020-03-11,2326.755359119028
2020-03-12,2117.8450944720776
2020-03-13,1945.3469043974405
2020-03-14,2142.76245626844
