Date,Total Coliform (MPN/100mL)
2020-01-01,4647.304377336174
2020-01-02,4699.101402236552
2020-01-03,4579.4242873994235
2020-01-04,3938.7900671279726
2020-01-05,4600.397767646039
2020-01-06,5203.586305419761
2020-01-07,4419.453604917788
2020-01-08,4296.746589941534
2020-01-09,4614.9482062450215
2020-01-10,4584.504228636921
2020-01-11,4836.535251577599
2020-01-12,4089.35857932436
2020-01-13,4674.221368280148
2020-01-14,4620.1096492637225
2020-01-15,4388.605783940671
2020-01-16,4521.217107113636
2020-01-17,4716.907224348162
2020-01-18,4658.324983253136
2020-01-19,4042.389676046364
2020-01-20,4620.116095942314
2020-01-21,4343.546625228355
2020-01-22,4373.814693283204
2020-01-23,4363.028768395021
2020-01-24,4285.23515655289
2020-01-25,4677.183048203877
2020-01-26,4284.045672825881
2020-01-27,3962.9181140663577
2020-01-28,4170.477593236586
2020-01-29,4332.036304096267
2020-01-30,4637.223400361692
2020-01-31,4439.561137577836
2020-02-01,3993.7915182157367
2020-02-02,4984.976917895905
2020-02-03,4309.471673128161
2020-02-04,4603.429513819321
2020-02-05,4166.227984669859
2020-02-06,4362.8396078467695
2020-02-07,4445.9240432190745
2020-02-08,4550.958292877271
2020-02-09,4494.294032020561
2020-02-10,4430.496068996613
2020-02-11,4066.2365893327315
2020-02-12,3981.3390395762194
2020-02-13,4244.922293356551
2020-02-14,4417.5348831178835
2020-02-15,4063.4181407240853
2020-02-16,4442.607480150338
2020-02-17,4551.848230631056
2020-02-18,3834.362096965604
2020-02-19,3851.5671928236825
2020-02-20,4054.107743296408
2020-02-21,4182.274647476607
2020-02-22,3926.586903897765
2020-02-23,4483.781335608961
2020-02-24,4199.703206712023
2020-02-25,4078.8806419015596
2020-02-26,3631.0394232948966
2020-02-27,3662.037213426928
2020-02-28,4136.259826806057
2020-02-29,3407.5603024319757
2020-03-01,4346.720365350406
2020-03-02,3991.2826616791754
2020-03-03,5007.667143405586
2020-03-04,4723.336512444361
2020-03-05,3972.9623678026337
2020-03-06,3992.1455619725575
2020-03-07,4319.585806728813
2020-03-08,4528.943870001135
2020-03-09,3523.8810140350774
2020-03-10,3476.8924464086076
2020-03-11,3823.928445860813
2020-03-12,4183.313082277904
2020-03-13,4155.726529157188
2020-03-14,4325.988799544594
2020-03-15,3643.7617581648847
2020-03-16,3307.6626647937096
2020-03-17,4258.966387941599
2020-03-18,3752.3813314216545
2020-03-19,3394.7939301678907
2020-03-20,4043.581629796761
2020-03-21,4237.959651663461
2020-03-22,3963.5564838786986
2020-03-23,3863.2079757154906
2020-03-24,3953.3647644895545
2020-03-25,3890.8314414486485
2020-03-26,3598.6466193075657
2020-03-27,3789.9323667324065
2020-03-28,4162.217314440695
2020-03-29,4104.054191097435
2020-03-30,4059.905859994556
2020-03-31,3713.1000928799167
2020-04-01,3959.569198655593
