Date,Fecal Coliform (MPN/100mL)
2020-01-01,5131.339096726101
2020-01-02,4994.234590501886
2020-01-03,5141.354305481771
2020-01-04,5306.392662993044
2020-01-05,4944.970029418529
2020-01-06,4935.034203490634
2020-01-07,5287.814871537384
2020-01-08,5115.622721269086
2020-01-09,4858.460033478292
2020-01-10,5051.144621114752
2020-01-11,4840.288222999647
2020-01-12,4830.22927016357
2020-01-13,4962.238288319327
2020-01-14,4521.730375779068
2020-01-15,4550.016229515661
2020-01-16,4773.231223541509
2020-01-17,4673.88975982804
2020-01-18,4930.153761914737
2020-01-19,4676.631560630543
2020-01-20,4566.794171665477
2020-01-21,5133.492319174799
2020-01-22,4786.406711005533
2020-01-23,4836.361377813194
2020-01-24,4529.296805311203
2020-01-25,4696.860094352369
2020-01-26,4819.51336656649
2020-01-27,4558.826846580586
2020-01-28,4855.968843691137
2020-01-29,4652.614573258738
2020-01-30,4706.428422099407
2020-01-31,4636.564863228669
2020-02-01,5119.617318373667
2020-02-02,4738.836509366203
2020-02-03,4522.489078076634
2020-02-04,4891.158816356331
2020-02-05,4475.225121800218
2020-02-06,4754.038186549058
2020-02-07,4313.332768714887
2020-02-08,4432.762693701109
2020-02-09,4731.039079499499
2020-02-10,4832.762891178858
2020-02-11,4712.883743190765
2020-02-12,4649.160625252782
2020-02-13,4605.891293089575
2020-02-14,4364.372771058966
2020-02-15,4510.218639086713
2020-02-16,4556.316958156861
2020-02-17,4854.275010831945
2020-02-18,4706.130356063796
2020-02-19,4279.506692097507
2020-02-20,4691.793002653366
2020-02-21,4544.9762215326145
2020-02-22,4481.781206361113
2020-02-23,4734.831683327228
2020-02-24,4814.186423104379
2020-02-25,4789.893245766711
2020-02-26,4431.606319719836
2020-02-27,4533.5830915139
2020-02-28,4657.818327657925
2020-02-29,4782.980217647213
2020-03-01,4488.508466396689
2020-03-02,4543.851256659934
2020-03-03,4356.524407220527
2020-03-04,4335.527984991489
2020-03-05,4734.4228353403505
2020-03-06,4840.485335899726
2020-03-07,4552.327057706497
2020-03-08,4765.100249198984
2020-03-09,4634.558990022232
2020-03-10,4431.220117890985
2020-03-11,4630.710231123385
2020-03-12,4864.40075915379
2020-03-13,4548.166353781937
2020-03-14,4866.974621602353
2020-03-15,4028.9877925216324
2020-03-16,4716.385159822543
2020-03-17,4568.659117128399
2020-03-18,4490.870700555806
2020-03-19,4568.624386894686
2020-03-20,4152.536221886979
2020-03-21,4506.071178590783
2020-03-22,4621.561413114415
2020-03-23,4846.028802204493
2020-03-24,4447.284703651932
2020-03-25,4389.90629555647
2020-03-26,4452.0971935947855
2020-03-27,4736.549679404044
2020-03-28,4620.416896281177
2020-03-29,4450.0884621941805
2020-03-30,4660.243821186279
2020-03-31,4578.731219818353
2020-04-01,4754.945115943612
2020-04-02,4422.880376321135
2020-04-03,4500.0072975769945
2020-04-04,4489.540016262664
2020-04-05,4277.8530477806635
2020-04-06,4632.546185089534
2020-04-07,4628.4701584808345
2020-04-08,4580.3887815514
2020-04-09,4535.724740868684
2020-04-10,4303.01221682478
2020-04-11,4505.568598153173
2020-04-12,4524.932086547128
2020-04-13,4436.961773525696
2020-04-14,4569.266064755598
2020-04-15,4686.601883681326
2020-04-16,4987.45865845076
2020-04-17,4649.726754690639
2020-04-18,4671.069572178534
2020-04-19,4609.57579376022
2020-04-20,4245.771944102433
2020-04-21,4629.438849944675
2020-04-22,4652.155787071689
2020-04-23,5138.27737911637
