Date,Total Coliform (MPN/100mL)
2020-01-01,6482.368029109055
2020-01-02,6512.687372631085
2020-01-03,6428.706440708629
2020-01-04,5997.437832965081
2020-01-05,6434.348805248691
2020-01-06,6832.333201480036
2020-01-07,6305.457531793486
2020-01-08,6219.554299727066
2020-01-09,6427.613350273882
2020-01-10,6403.266407590264
2020-01-11,6567.261735035958
2020-01-12,6065.145394915249
2020-01-13,6451.0833430226485
2020-01-14,6411.067443138577
2020-01-15,6252.820437634726
2020-01-16,6337.348375321467
2020-01-17,6463.961476188327
2020-01-18,6421.093445250292
2020-01-19,6006.691607253737
2020-01-20,6388.100277266765
2020-01-21,6200.0154857316065
2020-01-22,6216.527283481652
2020-01-23,6205.709069294851
2020-01-24,6150.259455432716
2020-01-25,6408.0122984931695
2020-01-26,6142.417468810802
2020-01-27,5924.872726904675
2020-01-28,6059.830578833558
2020-01-29,6164.166832415219
2020-01-30,6364.301921931988
2020-01-31,6229.2516690829525
2020-02-01,5928.845046090441
2020-02-02,6586.457926228016
2020-02-03,6132.994142030363
2020-02-04,6325.89044001942
2020-02-05,6031.399428027582
2020-02-06,6159.503683376224
2020-02-07,6211.977192767234
2020-02-08,6279.138821701845
2020-02-09,6238.5572014827385
2020-02-10,6193.276368989315
2020-02-11,5947.745262452142
2020-02-12,5888.513643771826
2020-02-13,6061.661542324131
2020-02-14,6174.222075883777
2020-02-15,5935.690210801746
2020-02-16,6186.090283578899
2020-02-17,6256.586556082439
2020-02-18,5775.994188872946
2020-02-19,5785.25926320331
2020-02-20,5918.145249186941
2020-02-21,6001.513380657687
2020-02-22,5829.04360527447
2020-02-23,6198.561067722247
2020-02-24,6007.296520560177
2020-02-25,5924.9359370774855
2020-02-26,5624.63037568175
2020-02-27,5643.6187950696785
2020-02-28,5958.158901777876
2020-02-29,5470.81986504746
2020-03-01,6095.456624385999
2020-03-02,5857.098046116408
2020-03-03,6533.3578464461125
2020-03-04,6342.54488738275
2020-03-05,5841.107274727386
2020-03-06,5852.779262225689
2020-03-07,6070.027655328609
2020-03-08,6208.626609009331
2020-03-09,5537.683919778679
2020-03-10,5505.529992944076
2020-03-11,5736.131926416251
2020-03-12,5975.039323960518
2020-03-13,5956.039170106428
2020-03-14,6069.0116540462095
2020-03-15,5613.731511001415
2020-03-16,5389.2770510905975
2020-03-17,6023.1649684113845
2020-03-18,5685.200958718178
2020-03-19,5446.642716606754
2020-03-20,5879.075255200823
2020-03-21,6008.642082841592
2020-03-22,5825.762197090827
2020-03-23,5758.992814333739
2020-03-24,5819.300987704145
2020-03-25,5777.889717688727
2020-03-26,5583.451330501582
2020-03-27,5711.400434431449
2020-03-28,5960.089323939314
2020-03-29,5921.886336959786
2020-03-30,5893.099879397874
2020-03-31,5662.614941065255
2020-04-01,5827.719514869159
2020-04-02,5431.200734582187
2020-04-03,5905.1199913977625
2020-04-04,6158.223600174083
2020-04-05,5580.868620350438
2020-04-06,5761.967127432224
2020-04-07,5948.645235798097
2020-04-08,6137.276139664132
2020-04-09,5801.157786169613
2020-04-10,5756.657890690399
2020-04-11,5505.837449899589
2020-04-12,5925.031363177223
2020-04-13,6317.686742241272
2020-04-14,5969.875701253935
2020-04-15,5915.283844561281
2020-04-16,5989.693309914215
2020-04-17,5928.795589365618
2020-04-18,5774.346493090451
2020-04-19,6107.737204277359
2020-04-20,5994.560038575153
2020-04-21,5959.449681679879
2020-04-22,5767.563975898704
2020-04-23,6230.2377821610935
2020-04-24,6109.5625792922665
2020-04-25,5873.308417549729
2020-04-26,6191.710676480867
2020-04-27,5899.465016191951
2020-04-28,5850.39005893021
2020-04-29,5862.837488200861
2020-04-30,5668.725169219429
2020-05-01,6125.579119724719
2020-05-02,5673.541958559914
2020-05-03,5802.748466523858
2020-05-04,5642.149369462359
2020-05-05,6049.04359473049
2020-05-06,6045.34216265689
2020-05-07,6019.371181944977
2020-05-08,5885.651746941176
2020-05-09,5869.327285630963
2020-05-10,6206.401801933079
2020-05-11,6013.3153879906695
2020-05-12,6196.736602976578
2020-05-13,5966.592610188811
2020-05-14,6190.167533333644
2020-05-15,6425.055402372862
2020-05-16,6292.206842860218
2020-05-17,6103.190751480989
2020-05-18,6247.935915417461
2020-05-19,6159.3052595697945
2020-05-20,6220.072829049867
2020-05-21,6164.546126950317
2020-05-22,6208.082578736081
2020-05-23,6294.755967437696
2020-05-24,6065.156253778302
2020-05-25,6072.2425401891805
2020-05-26,6009.39628727452
2020-05-27,5978.829787194779
2020-05-28,6067.295906873199
2020-05-29,6354.599094192821
2020-05-30,6156.185405269345
2020-05-31,6449.580718150634
2020-06-01,6365.990503481239
2020-06-02,5977.608238820172
2020-06-03,6514.633292183881
2020-06-04,6558.191110967762
2020-06-05,6209.712493695889
2020-06-06,6505.0337340745355
2020-06-07,6262.259217765036
2020-06-08,6465.705700448202
2020-06-09,6205.930286226573
2020-06-10,6112.908851356977
2020-06-11,6407.704946579195
2020-06-12,6472.295131660084
2020-06-13,6430.308027602565
2020-06-14,6285.867615269913
2020-06-15,6455.546588520689
2020-06-16,6602.257130414408
2020-06-17,6552.306643558052
2020-06-18,6610.6839974027835
2020-06-19,6453.066942792278
2020-06-20,6834.343582943232
2020-06-21,6377.67534980592
2020-06-22,6723.3282681344035
2020-06-23,6875.092969009434
2020-06-24,6747.783438651519
2020-06-25,6623.96875364012
2020-06-26,6571.66686375298
2020-06-27,6897.373563883765
2020-06-28,6418.364094032614
2020-06-29,6521.706763422282
2020-06-30,6648.958305037764
2020-07-01,6988.700783884833
2020-07-02,6829.781902109644
2020-07-03,6572.831983051075
2020-07-04,6716.943033427482
2020-07-05,6668.650342517882
2020-07-06,6662.010819703873
2020-07-07,7012.139736371812
2020-07-08,6554.342292639516
2020-07-09,7162.708417416147
2020-07-10,7018.788112732509
2020-07-11,7083.429425753018
2020-07-12,6784.705504762953
2020-07-13,6859.259410866884
2020-07-14,6614.485628999538
2020-07-15,6807.962720545877
2020-07-16,7023.312663941454
2020-07-17,7195.384618661587
2020-07-18,6726.231339816648
2020-07-19,6885.949192689788
2020-07-20,6940.071818573479
