Date,Precipitation
01-01-2020,0.3
01-01-2020,0.3
02-01-2020,0.7
02-01-2020,0.7
03-01-2020,10.2
03-01-2020,10.2
04-01-2020,1.5
04-01-2020,1.5
05-01-2020,0
05-01-2020,0
06-01-2020,0
06-01-2020,0
07-01-2020,0
07-01-2020,0
08-01-2020,0
08-01-2020,0
09-01-2020,0
09-01-2020,0
10-01-2020,0
10-01-2020,0
11-01-2020,0
11-01-2020,0
12-01-2020,0
12-01-2020,0
13-01-2020,0
13-01-2020,0
14-01-2020,0
14-01-2020,0
15-01-2020,0
15-01-2020,0
16-01-2020,0
16-01-2020,0
17-01-2020,0
17-01-2020,0
18-01-2020,0
18-01-2020,0
19-01-2020,0
19-01-2020,0
20-01-2020,0
20-01-2020,0
21-01-2020,0.1
21-01-2020,0.1
22-01-2020,0.7
22-01-2020,0.7
23-01-2020,0
23-01-2020,0
24-01-2020,0
24-01-2020,0
25-01-2020,0
25-01-2020,0
26-01-2020,0
26-01-2020,0
27-01-2020,0
27-01-2020,0
28-01-2020,0
28-01-2020,0
29-01-2020,0
29-01-2020,0
30-01-2020,0
30-01-2020,0
31-01-2020,0
31-01-2020,0
01-02-2020,1
01-02-2020,1
02-02-2020,9.4
02-02-2020,9.4
03-02-2020,1.6
03-02-2020,1.6
04-02-2020,0
04-02-2020,0
05-02-2020,0
05-02-2020,0
06-02-2020,0
06-02-2020,0
07-02-2020,0
07-02-2020,0
08-02-2020,0
08-02-2020,0
09-02-2020,0
09-02-2020,0
10-02-2020,0
10-02-2020,0
11-02-2020,0
11-02-2020,0
12-02-2020,0.3
12-02-2020,0.3
13-02-2020,0
13-02-2020,0
14-02-2020,0
14-02-2020,0
15-02-2020,0
15-02-2020,0
16-02-2020,0
16-02-2020,0
17-02-2020,0
17-02-2020,0
18-02-2020,0
18-02-2020,0
19-02-2020,0
19-02-2020,0
20-02-2020,0
20-02-2020,0
21-02-2020,0
21-02-2020,0
22-02-2020,0
22-02-2020,0
23-02-2020,0
23-02-2020,0
24-02-2020,0
24-02-2020,0
25-02-2020,0
25-02-2020,0
26-02-2020,0
26-02-2020,0
27-02-2020,0
27-02-2020,0
28-02-2020,0
28-02-2020,0
29-02-2020,0
29-02-2020,0
01-03-2020,0
01-03-2020,0
02-03-2020,0
02-03-2020,0
03-03-2020,0
03-03-2020,0
04-03-2020,0
04-03-2020,0
05-03-2020,1
05-03-2020,1
06-03-2020,0
06-03-2020,0
07-03-2020,0.1
07-03-2020,0.1
08-03-2020,0
08-03-2020,0
09-03-2020,0
09-03-2020,0
10-03-2020,0
10-03-2020,0
11-03-2020,0
11-03-2020,0
12-03-2020,0
12-03-2020,0
13-03-2020,0
13-03-2020,0
14-03-2020,0
14-03-2020,0
15-03-2020,0
15-03-2020,0
16-03-2020,0
16-03-2020,0
17-03-2020,0
17-03-2020,0
18-03-2020,0
18-03-2020,0
19-03-2020,0.1
19-03-2020,0.1
20-03-2020,0.9
20-03-2020,0.9
21-03-2020,0
21-03-2020,0
22-03-2020,0
22-03-2020,0
23-03-2020,0
23-03-2020,0
24-03-2020,0
24-03-2020,0
25-03-2020,0
25-03-2020,0
26-03-2020,0
26-03-2020,0
27-03-2020,0
27-03-2020,0
28-03-2020,0
28-03-2020,0
29-03-2020,0
29-03-2020,0
30-03-2020,0
30-03-2020,0
31-03-2020,0
31-03-2020,0
01-04-2020,0
01-04-2020,0
02-04-2020,0
02-04-2020,0
03-04-2020,0
03-04-2020,0
04-04-2020,0.6
04-04-2020,0.6
05-04-2020,0
05-04-2020,0
06-04-2020,0
06-04-2020,0
07-04-2020,0
07-04-2020,0
08-04-2020,0
08-04-2020,0
09-04-2020,0
09-04-2020,0
10-04-2020,0
10-04-2020,0
11-04-2020,0
11-04-2020,0
12-04-2020,0
12-04-2020,0
13-04-2020,0
13-04-2020,0
14-04-2020,1.2
14-04-2020,1.2
15-04-2020,0
15-04-2020,0
16-04-2020,0
16-04-2020,0
17-04-2020,0
17-04-2020,0
18-04-2020,6.2
18-04-2020,6.2
19-04-2020,11.7
19-04-2020,11.7
20-04-2020,0.4
20-04-2020,0.4
21-04-2020,0
21-04-2020,0
22-04-2020,0
22-04-2020,0
23-04-2020,0
23-04-2020,0
24-04-2020,0
24-04-2020,0
25-04-2020,0
25-04-2020,0
26-04-2020,0
26-04-2020,0
27-04-2020,0
27-04-2020,0
28-04-2020,0.4
28-04-2020,0.4
29-04-2020,0
29-04-2020,0
30-04-2020,0.6
30-04-2020,0.6
01-05-2020,0.3
01-05-2020,0.3
02-05-2020,1.2
02-05-2020,1.2
03-05-2020,0.5
03-05-2020,0.5
04-05-2020,1.7
04-05-2020,1.7
05-05-2020,0
05-05-2020,0
06-05-2020,0.1
06-05-2020,0.1
07-05-2020,2.4
07-05-2020,2.4
08-05-2020,0.2
08-05-2020,0.2
09-05-2020,0.9
09-05-2020,0.9
10-05-2020,1
10-05-2020,1
11-05-2020,0
11-05-2020,0
12-05-2020,0
12-05-2020,0
13-05-2020,0
13-05-2020,0
14-05-2020,0
14-05-2020,0
15-05-2020,0.2
15-05-2020,0.2
16-05-2020,25.6
16-05-2020,25.6
17-05-2020,55.2
17-05-2020,55.2
18-05-2020,0
18-05-2020,0
19-05-2020,0
19-05-2020,0
20-05-2020,0
20-05-2020,0
21-05-2020,0
21-05-2020,0
22-05-2020,0
22-05-2020,0
23-05-2020,0
23-05-2020,0
24-05-2020,0
24-05-2020,0
25-05-2020,0
25-05-2020,0
26-05-2020,0.4
26-05-2020,0.4
27-05-2020,0.1
27-05-2020,0.1
28-05-2020,0
28-05-2020,0
29-05-2020,3.5
29-05-2020,3.5
30-05-2020,0.1
30-05-2020,0.1
31-05-2020,0.2
31-05-2020,0.2
01-06-2020,0
01-06-2020,0
02-06-2020,0
02-06-2020,0
03-06-2020,0
03-06-2020,0
04-06-2020,0.2
04-06-2020,0.2
05-06-2020,0
05-06-2020,0
06-06-2020,0
06-06-2020,0
07-06-2020,6.9
07-06-2020,6.9
08-06-2020,9.4
08-06-2020,9.4
09-06-2020,1.9
09-06-2020,1.9
10-06-2020,3.7
10-06-2020,3.7
11-06-2020,0.9
11-06-2020,0.9
12-06-2020,0
12-06-2020,0
13-06-2020,3.1
13-06-2020,3.1
14-06-2020,17.9
14-06-2020,17.9
15-06-2020,32.1
15-06-2020,32.1
16-06-2020,99.6
16-06-2020,99.6
17-06-2020,101.8
17-06-2020,101.8
18-06-2020,0.2
18-06-2020,0.2
19-06-2020,1.1
19-06-2020,1.1
20-06-2020,0.1
20-06-2020,0.1
21-06-2020,0.3
21-06-2020,0.3
22-06-2020,0.3
22-06-2020,0.3
23-06-2020,0
23-06-2020,0
24-06-2020,0
24-06-2020,0
25-06-2020,0.3
25-06-2020,0.3
26-06-2020,0
26-06-2020,0
27-06-2020,0
27-06-2020,0
28-06-2020,0
28-06-2020,0
29-06-2020,0.3
29-06-2020,0.3
30-06-2020,2.2
30-06-2020,2.2
01-07-2020,0.3
01-07-2020,0.3
02-07-2020,0.1
02-07-2020,0.1
03-07-2020,0.7
03-07-2020,0.7
04-07-2020,0
04-07-2020,0
05-07-2020,0.3
05-07-2020,0.3
06-07-2020,1.7
06-07-2020,1.7
07-07-2020,2.2
07-07-2020,2.2
08-07-2020,18.8
08-07-2020,18.8
09-07-2020,19.9
09-07-2020,19.9
10-07-2020,5
10-07-2020,5
11-07-2020,2.6
11-07-2020,2.6
12-07-2020,2
12-07-2020,2
13-07-2020,2.8
13-07-2020,2.8
14-07-2020,10.9
14-07-2020,10.9
15-07-2020,20.8
15-07-2020,20.8
16-07-2020,15.9
16-07-2020,15.9
17-07-2020,25.7
17-07-2020,25.7
18-07-2020,6.4
18-07-2020,6.4
19-07-2020,46.8
19-07-2020,46.8
20-07-2020,1.3
20-07-2020,1.3
21-07-2020,1.5
21-07-2020,1.5
22-07-2020,2.1
22-07-2020,2.1
23-07-2020,9.4
23-07-2020,9.4
24-07-2020,7.5
24-07-2020,7.5
25-07-2020,67.4
25-07-2020,67.4
26-07-2020,3.3
26-07-2020,3.3
27-07-2020,11.1
27-07-2020,11.1
28-07-2020,3
28-07-2020,3
29-07-2020,3.2
29-07-2020,3.2
30-07-2020,8.9
30-07-2020,8.9
31-07-2020,14.8
31-07-2020,14.8
01-08-2020,21.2
01-08-2020,21.2
02-08-2020,5.9
02-08-2020,5.9
03-08-2020,0.5
03-08-2020,0.5
04-08-2020,3.4
04-08-2020,3.4
05-08-2020,6.2
05-08-2020,6.2
06-08-2020,12.8
06-08-2020,12.8
07-08-2020,1.5
07-08-2020,1.5
08-08-2020,0.6
08-08-2020,0.6
09-08-2020,5.7
09-08-2020,5.7
10-08-2020,8.9
10-08-2020,8.9
11-08-2020,2.3
11-08-2020,2.3
12-08-2020,1.3
12-08-2020,1.3
13-08-2020,0.1
13-08-2020,0.1
14-08-2020,0.2
14-08-2020,0.2
15-08-2020,1.9
15-08-2020,1.9
16-08-2020,6
16-08-2020,6
17-08-2020,14.9
17-08-2020,14.9
18-08-2020,7.9
18-08-2020,7.9
19-08-2020,6.7
19-08-2020,6.7
20-08-2020,3.5
20-08-2020,3.5
21-08-2020,8.2
21-08-2020,8.2
22-08-2020,28.7
22-08-2020,28.7
