Date,Conductivity (µmho/cm)
2020-01-01,177.74650364757255
2020-01-02,173.5311478612849
2020-01-03,179.28112784654283
2020-01-04,185.67557032276977
2020-01-05,173.66100495700582
2020-01-06,173.96541647347232
2020-01-07,186.98165064296015
2020-01-08,181.64038332262732
2020-01-09,173.34149122423239
2020-01-10,180.80338984194557
2020-01-11,174.1572772939694
2020-01-12,174.55478120740796
2020-01-13,179.94014786925257
2020-01-14,173.0
2020-01-15,173.0
2020-01-16,175.710666715588
2020-01-17,173.05838968940503
2020-01-18,182.86660970603643
2020-01-19,174.84636973663126
2020-01-20,173.0
2020-01-21,192.58372664888566
2020-01-22,181.32940590856023
2020-01-23,183.98451659366012
2020-01-24,174.15670703016306
2020-01-25,180.9533532948985
2020-01-26,186.19035349359748
2020-01-27,178.02238572043015
2020-01-28,189.39005749943556
2020-01-29,183.2517146172826
2020-01-30,186.12532049693672
2020-01-31,184.68098829967
2020-02-01,202.59919119992412
2020-02-02,190.29340477195183
2020-02-03,183.75265877630773
2020-02-04,197.69708029753247
2020-02-05,184.18963978640613
2020-02-06,195.0072827594336
2020-02-07,180.65041189095203
2020-02-08,185.90659465233782
2020-02-09,197.43040129116312
2020-02-10,202.0825443327902
2020-02-11,198.9859367562671
2020-02-12,197.86181749610714
2020-02-13,197.4602802147424
2020-02-14,190.12639099156576
2020-02-15,196.35629346336734
2020-02-16,199.10073631477476
2020-02-17,210.6656392952688
2020-02-18,206.6219802368707
2020-02-19,192.83625035556204
2020-02-20,208.41672446787473
2020-02-21,204.43260435272754
2020-02-22,203.3789179334715
2020-02-23,213.39715244508622
2020-02-24,217.33902069316025
2020-02-25,217.6558513279246
2020-02-26,206.2851944090754
2020-02-27,211.0257140517087
2020-02-28,216.54687999250245
2020-02-29,222.10173129852666
2020-03-01,212.97030970540084
2020-03-02,216.08295340506137
2020-03-03,210.70236768563942
2020-03-04,211.14320645817008
2020-03-05,226.27975092121807
2020-03-06,231.1663260474825
2020-03-07,222.25398882686105
2020-03-08,230.87272030946963
2020-03-09,227.47356609184217
2020-03-10,221.52426886001493
2020-03-11,229.67141358092113
2020-03-12,239.01265507285936
2020-03-13,229.1032618015076
2020-03-14,241.4167566169905
2020-03-15,213.23847525373515
2020-03-16,238.4443518341491
2020-03-17,234.41628026346163
2020-03-18,232.83105830578086
2020-03-19,236.6845056206995
2020-03-20,223.2478483529182
2020-03-21,236.7420267743933
2020-03-22,241.89833433393665
2020-03-23,250.86220657118196
2020-03-24,238.0067128286237
2020-03-25,237.09172822312274
2020-03-26,240.35405534692592
2020-03-27,251.38760235708514
2020-03-28,248.39240992025907
2020-03-29,243.4917977627385
2020-03-30,251.89923206349727
2020-03-31,250.08908972282913
2020-04-01,257.28986776183416
2020-04-02,246.69108033045669
2020-04-03,250.40388453185435
2020-04-04,251.0404748643107
2020-04-05,244.62366217261214
2020-04-06,258.01914519078747
2020-04-07,258.8464087214269
2020-04-08,258.1218988308688
2020-04-09,257.5051255726527
2020-04-10,250.2945048015577
2020-04-11,258.30586826479566
2020-04-12,259.8927798456931
2020-04-13,257.7100383349499
2020-04-14,263.2236723617378
2020-04-15,268.1999125994476
2020-04-16,279.5856313856179
2020-04-17,268.6067379454227
2020-04-18,270.1812018503295
2020-04-19,268.84188180411604
2020-04-20,256.9069652718735
2020-04-21,271.11854466020304
2020-04-22,272.6816625313414
2020-04-23,290.44850313003576
2020-04-24,272.79460662924004
2020-04-25,277.1765804213015
2020-04-26,275.73639889790724
2020-04-27,268.70101317304784
2020-04-28,285.7723757840722
2020-04-29,283.91521847284844
2020-04-30,285.0559360626506
2020-05-01,274.00772254855315
2020-05-02,291.0351610442313
2020-05-03,272.2320038484888
2020-05-04,286.9692698923951
2020-05-05,298.9974752016651
2020-05-06,277.5200158168777
2020-05-07,281.2654050027374
2020-05-08,286.68877256581544
2020-05-09,283.21438649948357
2020-05-10,276.6171327954874
2020-05-11,288.6701188160879
2020-05-12,281.4575807429263
2020-05-13,292.89730159633586
2020-05-14,283.8193478794968
2020-05-15,301.7625369131569
2020-05-16,286.07222232788735
2020-05-17,289.9266945560673
2020-05-18,298.4858204496486
2020-05-19,284.76898865654744
2020-05-20,295.55468557501354
2020-05-21,303.0
2020-05-22,283.81502286362917
2020-05-23,296.8870274094451
2020-05-24,297.92388833349065
2020-05-25,302.07036957101366
2020-05-26,288.4144914509211
2020-05-27,288.28798244578377
2020-05-28,301.62516163395003
2020-05-29,300.4730844538386
2020-05-30,300.5523666577758
2020-05-31,301.6107631048139
2020-06-01,294.79403089889547
2020-06-02,301.5303183026029
2020-06-03,302.28804455616836
2020-06-04,295.54963010833507
2020-06-05,303.0
2020-06-06,303.0
2020-06-07,293.0400701162991
2020-06-08,303.0
2020-06-09,295.0153926898288
2020-06-10,303.0
2020-06-11,303.0
2020-06-12,296.6398331601325
2020-06-13,303.0
2020-06-14,303.0
2020-06-15,303.0
2020-06-16,303.0
2020-06-17,301.1956262467308
2020-06-18,297.6853278975784
2020-06-19,296.76376854121384
2020-06-20,297.28932800524194
2020-06-21,302.4506575826938
2020-06-22,303.0
2020-06-23,303.0
2020-06-24,303.0
2020-06-25,302.8503946138949
2020-06-26,303.0
2020-06-27,300.6760691270874
2020-06-28,303.0
2020-06-29,303.0
2020-06-30,296.03920404422996
2020-07-01,294.34191689499227
2020-07-02,303.0
2020-07-03,299.8149550994367
2020-07-04,303.0
2020-07-05,303.0
2020-07-06,300.0402876459215
2020-07-07,294.30898121659874
2020-07-08,289.3006118496748
2020-07-09,296.42859928547574
2020-07-10,303.0
2020-07-11,300.2975729142661
2020-07-12,289.6740202902224
2020-07-13,299.18383715558997
2020-07-14,300.22840039547555
2020-07-15,290.88614437365976
2020-07-16,297.6736852101912
2020-07-17,296.51216980287364
2020-07-18,287.59379831490463
2020-07-19,297.57191702799577
2020-07-20,298.44880199210735
2020-07-21,301.5438247350116
2020-07-22,300.76165323582944
2020-07-23,283.14751435236127
2020-07-24,285.61634989010116
2020-07-25,295.16024224470164
2020-07-26,294.5094977344196
2020-07-27,293.8606513232757
2020-07-28,303.0
2020-07-29,292.88994031386125
2020-07-30,296.13913747370987
2020-07-31,294.1497891574028
2020-08-01,291.2984548374376
2020-08-02,283.7843282977195
2020-08-03,290.54227365340967
2020-08-04,279.04399359102945
2020-08-05,282.0065555738152
2020-08-06,279.46372540098946
2020-08-07,282.618080263739
2020-08-08,297.4182108343932
2020-08-09,267.3025783839741
2020-08-10,284.32253376597083
2020-08-11,267.36267614571346
2020-08-12,274.469093021941
2020-08-13,284.5044136151561
2020-08-14,276.4293414195122
2020-08-15,267.52153557946104
2020-08-16,269.13400741788814
2020-08-17,277.9629925851815
2020-08-18,267.1474846397343
2020-08-19,272.8193519154214
2020-08-20,270.6573666582935
2020-08-21,264.80180078123846
2020-08-22,283.38595774054744
2020-08-23,271.8221264118259
2020-08-24,252.2063319705409
2020-08-25,266.67673680513184
2020-08-26,259.7201670900211
2020-08-27,269.2930125630748
2020-08-28,256.7441362923516
2020-08-29,260.44723043388484
2020-08-30,263.7370109487738
2020-08-31,265.2075218654696
2020-09-01,249.68402978498113
2020-09-02,254.677513165281
2020-09-03,252.62168607320876
2020-09-04,250.294962181521
2020-09-05,266.1434116182035
2020-09-06,255.5323915347654
2020-09-07,242.77926430725282
2020-09-08,256.9343864574874
2020-09-09,264.2646402564813
2020-09-10,255.5336168555618
2020-09-11,236.5645294274297
2020-09-12,242.70151364257754
2020-09-13,253.84816557747698
2020-09-14,238.9126683926862
2020-09-15,245.85791944039866
2020-09-16,247.0570427305446
2020-09-17,234.02843495694475
2020-09-18,238.98186884092183
2020-09-19,215.59085860877238
2020-09-20,229.99011726578442
2020-09-21,234.27420312519885
2020-09-22,226.18962748528799
2020-09-23,245.2338299133159
2020-09-24,222.6800446577981
2020-09-25,228.49637957548447
2020-09-26,231.3794350672951
2020-09-27,239.44295709874007
2020-09-28,218.1953640493415
2020-09-29,235.28379060744695
2020-09-30,226.1117385693879
2020-10-01,218.07155335917307
2020-10-02,227.08271434406834
2020-10-03,224.15147754693766
2020-10-04,217.47112770737516
2020-10-05,221.08068475938882
2020-10-06,216.81945764870244
2020-10-07,219.24133392044035
2020-10-08,222.01748096335544
2020-10-09,227.42664708333533
2020-10-10,206.6082069168822
2020-10-11,229.15926959527138
2020-10-12,199.52558608600967
2020-10-13,211.09722140638476
2020-10-14,215.25511093950325
2020-10-15,212.08896710983382
2020-10-16,204.75652178445597
2020-10-17,206.6605161831123
2020-10-18,203.67717377302992
2020-10-19,202.02258338350168
2020-10-20,211.12474612224835
2020-10-21,206.71576061164683
2020-10-22,198.4154165449118
2020-10-23,208.62240683952604
2020-10-24,203.54629956826656
2020-10-25,206.16607975601045
2020-10-26,203.9754079773327
2020-10-27,192.8683903963703
2020-10-28,193.8650915065585
2020-10-29,202.14433350868518
2020-10-30,200.3249644981135
2020-10-31,195.0575858368778
2020-11-01,195.18939444127193
2020-11-02,202.48889186491928
2020-11-03,188.59454561435248
2020-11-04,195.7689475810004
2020-11-05,189.74128671196178
2020-11-06,188.86411692252682
2020-11-07,197.32468187227187
2020-11-08,194.67084902819198
2020-11-09,193.86174419749412
2020-11-10,196.59453709679454
2020-11-11,186.90719826244515
2020-11-12,190.853011561451
2020-11-13,183.24202806947423
2020-11-14,187.03319683399388
2020-11-15,183.21894295308346
2020-11-16,184.19079091579368
2020-11-17,187.07593919002437
2020-11-18,176.59664048380046
2020-11-19,196.40173939618984
2020-11-20,174.16041659478182
2020-11-21,173.0
2020-11-22,188.25498364624647
2020-11-23,185.18831827801534
2020-11-24,183.53128137642423
2020-11-25,183.09405929675268
2020-11-26,178.1606845583619
2020-11-27,173.0
2020-11-28,177.93183305101272
2020-11-29,173.0
2020-11-30,183.45365005970132
2020-12-01,175.23893854804197
2020-12-02,173.0
2020-12-03,173.35467428054562
2020-12-04,178.19059875999855
2020-12-05,173.0
2020-12-06,173.0
2020-12-07,176.20480844992656
2020-12-08,175.98427057425496
2020-12-09,173.0
2020-12-10,173.0
2020-12-11,175.31892630342966
2020-12-12,173.0
2020-12-13,173.0
2020-12-14,173.0
2020-12-15,173.0
2020-12-16,175.2942932185152
2020-12-17,183.3876760370019
2020-12-18,179.0252852092309
2020-12-19,173.0
2020-12-20,173.0
2020-12-21,173.0
2020-12-22,173.0
2020-12-23,173.0
2020-12-24,175.45395387724065
2020-12-25,173.0
2020-12-26,177.04189787133663
2020-12-27,184.27014659756418
2020-12-28,173.0
2020-12-29,176.67921641673487
2020-12-30,178.88990384669316
2020-12-31,173.0
2021-01-01,177.59653346865852
2021-01-02,176.3330162227053
2021-01-03,177.18535117737662
2021-01-04,174.73
2021-01-05,177.2263662978806
2021-01-06,180.8812668429431
2021-01-07,187.94601785086346
2021-01-08,184.8130683611649
2021-01-09,193.61709001964152
2021-01-10,174.73
2021-01-11,185.3425200567084
2021-01-12,180.88926635779393
2021-01-13,195.51078282582216
2021-01-14,174.76792826176083
2021-01-15,175.01723365941166
2021-01-16,177.20544021118832
2021-01-17,174.73
2021-01-18,178.75645915836523
2021-01-19,177.6474957307479
2021-01-20,184.63586282144234
2021-01-21,186.56364186784364
2021-01-22,198.00346624534197
2021-01-23,192.0664338884285
2021-01-24,181.89253493146063
2021-01-25,180.25988096380766
2021-01-26,190.7459028618357
2021-01-27,178.60608539637417
2021-01-28,201.57618655931628
2021-01-29,197.6693889546809
2021-01-30,186.7317766525643
2021-01-31,178.67000281045603
2021-02-01,201.10145403279463
2021-02-02,191.48196749263252
2021-02-03,201.8195629574414
2021-02-04,182.58605502426207
2021-02-05,190.42531937728216
2021-02-06,195.51776292735187
2021-02-07,196.6439365836083
2021-02-08,193.97397308121487
2021-02-09,202.41644538817687
2021-02-10,191.33433461981562
2021-02-11,198.75759941671615
2021-02-12,201.5085591437562
2021-02-13,205.20076870150146
2021-02-14,207.51192256146757
2021-02-15,195.45793536205787
2021-02-16,193.50227260150734
2021-02-17,214.33161667967622
2021-02-18,208.60827879668614
2021-02-19,201.93750694407734
2021-02-20,219.17626251587652
2021-02-21,210.01728178324868
2021-02-22,218.5361767463006
2021-02-23,211.6839282710016
2021-02-24,226.79273210496112
2021-02-25,225.6585191551258
2021-02-26,212.52113771260312
2021-02-27,222.19110931274116
2021-02-28,220.93312429597128
2021-03-01,227.10186967451057
2021-03-02,211.6657657977197
2021-03-03,224.40677572631415
2021-03-04,228.11424075074504
2021-03-05,209.2775311859907
2021-03-06,214.43235318155624
2021-03-07,209.47200080919768
2021-03-08,223.08093395517957
2021-03-09,231.15949367294516
2021-03-10,237.81319941399275
2021-03-11,228.82435831124113
2021-03-12,240.9273726929749
2021-03-13,220.77154578909426
2021-03-14,219.60467066978913
